Authors,Author full names,Author(s) ID,Title,Year,Link,Abstract
Gargiulo M.V.; Woo G.; Russo R.; Capuano P.,"Gargiulo, M.V. (56079633000); Woo, G. (7006485435); Russo, R. (57195987477); Capuano, P. (7004874086)",56079633000; 7006485435; 57195987477; 7004874086,A role game to learn about risk perception via downward counterfactual thinking,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209755805&doi=10.1016%2fj.ijdrr.2024.105000&partnerID=40&md5=ee97525189ff0c105781c6abe0ae9b59,"Italy is exposed to significant seismic and volcanic hazards, particularly in the Campania region, home to the Phlegraean Fields volcanic crater near Naples. Unlike Vesuvius and Stromboli, the Phlegraean Fields threat is not readily visible, and public awareness of volcanic danger and the civic emergency plan is correspondingly quite limited. Recent increased levels of regional seismic activity have concentrated attention on enhancing public volcano risk awareness, especially among younger generations. Recognizing the influential role of the younger demographic in societal scientific awareness, effective language and engagement strategies become paramount. In this context, Serious Games, which balance serious and playful elements, emerge as an innovative science communication tool actively involving participants and enhancing their learning experience. Integral to risk analysis is the use of downward counterfactual analysis, a cognitive psychology concept that prompts a deliberate examination of how events might have taken a more adverse turn. This approach contributes to enhanced disaster preparedness, particularly for extreme natural risks such as volcanic eruptions. An interactive Victorian parlor game was designed for the 2023 edition of the Science Fair “Futuro Remoto” in Bagnoli, in the Phlegraean Fields. This game aims to elevate risk awareness, offering participants an instructive and engaging experience focused on counterfactual thinking, problem-solving, and leadership skills development. The initiative places participants at the core of the learning process, fostering not only the acquisition of scientific knowledge but also individual risk intelligence. An evaluation protocol has been developed to assess the impact of the experience on risk perception, with outcomes to be presented after the 2023 edition of “Futuro Remoto,” where nearly 200 participants engaged in the game. © 2024 The Authors"
Ahmed N.; Wahab S.N.; Othman N.; Balasubramanian S.,"Ahmed, Nusrat (58354729300); Wahab, Siti Norida (57204971443); Othman, Norashida (57211144317); Balasubramanian, Sreejith (55364521300)",58354729300; 57204971443; 57211144317; 55364521300,A Sustainable eHealth Program to Enhance the Healthcare Sector,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213238786&doi=10.22059%2fjitm.2025.99928&partnerID=40&md5=f64e97218a8e798219ce6591a95ff932,"This study aims to assess the efficiency of the eHealth program by conducting a comparative study between public and private healthcare settings in Bangladesh and Malaysia. A detailed literature review gathered from leading databases, articles, and case studies was conducted to achieve the study’s objective. After evaluating the literature and utilizing reducing methods the factors were organized and categorized into the four SWOT groups. The study exhibits that the government of Bangladesh has taken multiple approaches to efficient usage of their resources and providing primary healthcare services at grassroots levels. However, compared to a developing country like Malaysia it is far lag and struggling with multiple challenges like inadequate ICT infrastructure interoperability issues, low adoption of services, privacy and trust issues inadequate data security lack of policies and regulations, and insufficient funding along with multiple threats like resistance to change, cultural influence, and native environmental issues. Nonetheless, these challenges can be addressed through the development of adequate infrastructure, technology, financial support, and human resource capabilities. This will help to achieve the goal of universal health coverage and digital healthcare. This paper identified and explored numerous eHealth concerns and institutionalized favorable policy recommendations to establish an effective and successful eHealth system and boost the healthcare sectors of Bangladesh and similar emerging economies. Being the first to incorporate SWOT analysis and eHealthcare programs, the suggested approaches can have a significant positive impact on the implementation of an effective and sustainable eHealth system. © 2025, Nusrat Ahmed, Siti Norida Wahab, Norashida Othman and Sreejith Balasubramanian."
Bahari A.; Ali S.; Djunid A.; Amsal A.A.; Novandri R.; Multama I.,"Bahari, Asniati (56414504100); Ali, Syahril (58967822600); Djunid, Amsal (59505767000); Amsal, Ares Albirru (58494548000); Novandri, Reza (59505118000); Multama, Ilham (59504484900)",56414504100; 58967822600; 59505767000; 58494548000; 59505118000; 59504484900,Integrated Information System Modeling for Municipalities in Indonesia Toward Smart Cities,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214351100&doi=10.5109%2f7326965&partnerID=40&md5=b80006dce58a669e37b99d00e974101d,"To create a comfortable city to live in and a knowledgeable society, every government needs to formulate policies and provide supporting infrastructure to realize the concept of urban development in the future. Smart city is considered a positive performance indicator for a city because it is expected to provide benefits for government and social life of the community in various sectors. Indonesia's smart city policies are still unsustainable and sectoral. This study aims to (i) identify the smart city categories essential for municipalities in Indonesia, (ii) determine the information needs of municipalities in supporting smart city initiatives, and (iii) formulate an integrated information system implementation model tailored to municipalities in Indonesia. Data were collected in Pariaman City, West Sumatra, Indonesia, using questionnaires, focus group discussions (FGD), and interviews. The findings reveal that the top three smart city categories, prioritized in order, are Data Centers & Analytics, Government Planning & Policy Design, and Education Facilities. These ideas are valuable for guiding the development of a smart city strategy within the Municipality by emphasizing key priorities such as data centers, analytics, government planning, education, health amenities, and online civic services. The results of this research contribute to the field of Information Systems within government organizations. © 2024 Joint Journal of Novel Carbon Resource Sciences and Green Asia Strategy. All rights reserved."
Wuntah J.M.; Gutberlet J.,"Wuntah, John M. (59652734500); Gutberlet, Jutta (23389308400)",59652734500; 23389308400,Grassroots Innovations from Youth REDUCING FOOD WASTE: INSIGHTS FROM STUDENTS AT THE UNIVERSITY OF VICTORIA AND JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218777442&doi=10.31025%2f2611-4135%2f2024.19449&partnerID=40&md5=df12f271ffe8228a1c23dbcdc3c31501,[No abstract available]
Zapata-Cardona L.,"Zapata-Cardona, Lucía (56600782000)",56600782000,Public engagement of underserved students with open civic data,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217712397&doi=10.1007%2fs11858-024-01641-4&partnerID=40&md5=7c5ac27626a17e6df1759c74a21e4335,"Today, various non-governmental organizations proclaim the need for public engagement of citizens, a concept that is integrated into the notion of global citizenship. However, much of the mathematics that students find in the primary school curriculum falls short to support that need. This lack of curriculum alignment with global needs has implications for the development of communities, but they are much more severe for students from underserved populations who systematically suffer different types of exclusions that increase their social disadvantages. This study explores the traits of global citizenship that students from underserved populations exhibit as they progress through a learning experience with open civic data on a global issue (climate change). The learning experience was used as the basis for an individual interview with five participants (9–10 years old) from public schools in low-income neighborhoods of a metropolitan area in northern Colombia. Participants were offered a dataset (data) ready to use and they were asked to undertake data handling actions (data-ing) using freely available web-based software. Participants were asked “What does this dataset say?” and their verbal statements were analyzed. The main findings suggest that in data and data-ing on open civic data reflecting global issues, participants exhibited understanding, belonging and action which are traits of global citizenship. In terms of understanding, participants described the behavior of the variables, suggested informal inferences, and made associations between variables. In terms of belonging and action, participants’ statements suggested including themselves as part of the community, taking responsibility, and proposing transformative actions. © The Author(s) 2025."
Zhang Y.; Li W.,"Zhang, Yikai (58866093200); Li, Wei (59234187200)",58866093200; 59234187200,Improved Back-Propagation Neural Network Applied to Enterprise Employee Performance Appraisal and Evaluation,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215672612&doi=10.20965%2fjaciii.2025.p0131&partnerID=40&md5=cf84504ccf171262675bfeb4512834ed,"Evaluating employee performance in enterprises is beneficial for improving talent competitiveness, operation level production, and overall enterprise performance. At present, many performance appraisal methods lack objectivity and fairness, which is not conducive to the long-term development of enterprises. Therefore, more research into scientific and effective performance appraisal methods is required. This study takes the grassroots employees of Enterprise A as an example, improving the existing performance appraisal evaluation indices to evaluate employee performance from three dimensions, including achievement, ability, and attitude, as determined by index weights using the analytic hierarchy process approach. An improved backpropagation neural network (BPNN) method is then designed to obtain performance appraisal and evaluation results. The error between the output of the improved BPNN method and expected output was small. Of the 20 extracted samples, the maximum and minimum error values were 0.05 and 0.01, respectively, and the average error was 0.03. The improved BPNN method evaluated only one out of 20 samples incorrectly, and the accuracy of the improved BPNN method was 96.21%, which is 19.88% and 10.75% higher than those of support vector machine and standard BPNN, respectively. The findings demonstrate that the improved BPNN method can be used in the appraisal and assessment of enterprise employee performance and has practical application value. © Fuji Technology Press Ltd."
Ari A.,"Ari, Anisah (57415297300)",57415297300,A strange texture of non-violent activism: the Nasarawa women peace leadership emerging from the 2023 Nigeria elections,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198381100&doi=10.1108%2fIJPL-06-2023-0050&partnerID=40&md5=01e53bbcbebbe9e0d7ba08e47740be13,"Purpose: This paper takes a contemplative analysis of non-violent activism in a hyperlocal context that is historically marked by violent clashes. It emphasizes the importance of placing nonviolent activities within leadership frameworks that prioritize collectivity, collaboration, adaptiveness, authenticity, and community interactions. It argues that non-violent activism can serve as a cornerstone of democratic practices, and plausible to a myriad of challenges in civic spaces. The assertion that violence is not a prerequisite for gaining the attention of authorities capable of enacting societal change is supported by several studies. This paper advocates for a reorientation of collaborative efforts between those in positions of authority and civil society leaders to foster progress. There is power in the decibel of voices of the people, to correct acts of omission and commission that is impacting negatively on the citizens. In context characterized by volatility and fragility, the paper suggests prioritizing the process of influencing, mobilizing and organizing responsive interventions rather than solely focusing on the ends or outcomes. Process-oriented approach creates containers for curiosity, relational, and experimental practices that interweave multi-dimensional perspectives. The social change actors navigated cultural and structural barriers to implement non-violent strategies, offering a compelling example of grassroots peace building. Overall, this paper findings underscores the significance of understanding both direct and structural violence in shaping citizen’s right within specific context. It highlights the efficacy of context-based leadership practices in promoting non-violent organizing for peace, particularly in hyperlocal settings. Moreover, it suggests that these findings could inform indigenous peace building that is inherently influenced by contextual factors. Design/methodology/approach: Adopting a case study, I was able to elucidate a context-based leadership model advanced by local women that averted a probable political violence in Nigeria. A case study approach was adopted because it is a phenomenon that is bounded in time, context and advanced by a particular group of change agents. A case study with a constructivist approach was utilized to understand the context and sense making of the “why” and the “what”. In situatedness, the natural occurring data was cultivated, including one-on-one indepth interviews. Data was analyzed using a narrative analysis, which raised themes on resilience, collectivity, collaboration, risk and sustainability. The findings pivot a culturally based experience of leadership by women in a fragile context. First, I provided a contextual background, explaining the local context, including the socio-economic, cultural, political and historical factors that contributed to the emergence of the conflict. In addition, I explained the scope and nature of the conflict, describing the grievances and issues that led to the tensions within the community, and highlighting the key actors and stakeholders involved. Secondly, I analyzed the non-violent strategies and tactics employed by a group of social change actors to address the issue which involved non-violent protest, tactical community organizing, dialogic engagements and creative forms of interventions. Thirdly, I evaluated and explained the role of leadership in coordinating non-violent activities and actions, the effectiveness of their leadership style, relational and processual, that sustained the non -violent approach, and the challenges the group encountered. In addition, I explained the outcome from such leadership practice and lessons learned, with evidence of a dismantling of power dynamics, and shift in attitude to a non-violent disposition. Lastly, I explained how this approach may have broader implications for understanding nonviolent conflict resolution, social movements, and the promotion of peace and justice in local contexts and beyond. Findings: A leadership practice that is relational and collective should have consideration for both the context where the leadership is exercised and deliberate on the processes necessary to hold containers for everyone to engage. This is gradually dismantling the hegemonic conceptualization of peace building, with a gradual shift of co-construction and sense making of peace building, with implication for more diversity and inclusion of persons and perspectives. It also underscores a system that deconstructs and departs form colonized thinking and contributes to conditions that enables and inspires alternative approaches to addressing oppressive power structures. (1) In unstable situations, leadership frequently arises from within communities, driven by individuals and groups intimately connected to their realities. The Nassarawan women embody this grassroots leadership, marked by wisdom, resilience, and a dedication to creating positive change despite significant obstacles. They embrace non-violent strategies, inspired by past successes, recognizing their potency in effecting change. (2) The leadership of these women illustrates the importance of mobilizing collective strength for justice and equality, showcasing how local leadership can catalyze transformative change for the better. (3) Indigenous styles of leadership possess the capacity to go beyond conventional concepts and embrace intricacy, flexibility, and inclusiveness. A multi-faceted leadership strategy becomes especially pertinent as it enables individuals to navigate complexity, confront challenges, and cultivate resilience within their communities, rather than depending solely on traditional methods.(4) The practice of peace leadership isn’t necessarily linked to official positions, titles, or authority. Rather, it appears as a continuous, intentional effort within community interactions, often arising from unexpected situations and sources. Research limitations/implications: Most of the women engaged in this leadership activity are located in remote areas, and this research had access to only a few who storied their experiences in ways they understood how to. Practical implications: With the rapid shift and call for more non-violent activism, we must be open to sample the different textures relevant for varied conditions. This holds a huge implication for understanding the psychology of communities expressing the full human agency in exercising leadership that is contextually driven. The connection between local struggles and global movements for social justice and human rights is profound and multifaceted. Firstly, there’s a shared value across movements for equity, equality, justice, dignity, and human rights, spanning issues like environmental protection, gender equality, racial justice, and indigenous rights. Local movements increasingly emphasize building solidarity across borders, collaborating with similar movements worldwide through actions like protests and social media campaigns. This amplifies local voices on a global stage and underscores the interconnectedness of struggles. The leadership of the women’s group holds significant implications for global movements, offering insights into grassroots perspectives on social issues. Their localized knowledge enriches global discourse on social change, providing tangible examples of challenges faced by marginalized groups and culturally relevant solutions. Additionally, their commitment to nonviolent methods establishes a platform for marginalized voices and fosters solidarity across diverse communities. The group’s innovative approaches, drawing upon local resources and grassroots networks, demonstrate the power of community-driven solutions to address social problems. Moreover, their grassroots empowerment shifts power dynamics within communities and influences broader systemic transformations, all while advocating for justice through peaceful means. These practices not only spark global solidarity but also shape public discourse and policy agendas at state and national levels, highlighting the human rights implications of local issues like political corruption. Overall, the women’s group exemplifies the transformative potential of grassroots activism in effecting lasting change on a global scale. Social implications: The power for everyday peace leadership rests with the people and it is translated into meaningful outcomes when everyone has the opportunity to lead. Originality/value: Research has been done on many women led movement in Nigeria, but this is unique, as it changed the narrative for an approach that was successful in shifting cultural boundaries in very fragile and uncertain context. © 2024, Emerald Publishing Limited."
Abdulkarim A.; Komalasari K.; Ratmaningsih N.; Anggraini D.N.; Sopianingsih P.; Nuryaningsih A.N.,"Abdulkarim, Aim (57203758979); Komalasari, Kokom (56596830500); Ratmaningsih, Neiny (57203768244); Anggraini, Diana Noor (57203765725); Sopianingsih, Pitria (59004779700); Nuryaningsih, Asmi Naziatul (59651302000)",57203758979; 56596830500; 57203768244; 57203765725; 59004779700; 59651302000,DEVELOPMENT OF MOODLE-BASED DIGITAL INTERACTIVE BOOK OF CIVIC EDUCATION IN HIGHER EDUCATION,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218741647&partnerID=40&md5=bc81cc7ee723e92f77ee0399c9d4db4a,"This study aims to design and develop a digital interactive book on Moodle-based citizenship education. This study is expected to improve students' digital citizenship with the ability to: interpret digital content, create, research, and improve information literacy; think critically about the ethics of the opportunities and challenges of the digital world; and make safe and responsible online choices. The method used is design-based research (DBR). Data collection techniques included literature studies, observations, interviews, and focus group discussions with qualitative data analysis. The results showed that the Moodle-based civics education interactive digital book was developed under the name Hyloodle (Hybrid Learning Moodle) and can be accessed on the Learning Management System (LMS) at hyloodle.id. Based on the results of expert validation of the quality of media and material, the digital interactive book of Moodle-based citizenship education is declared to be very relevant to use and able to increase student digital citizenship. © School of Engineering, Taylor's University."
Li J.; Chen L.; Long Y.; Wang J.; Li X.,"Li, Junjun (58079220100); Chen, Luan (57907688700); Long, Ye (59236702700); Wang, Jin (59347088100); Li, Xun (57208591704)",58079220100; 57907688700; 59236702700; 59347088100; 57208591704,Trust rebuilding through village co-construction,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210019615&doi=10.1016%2fj.jrurstud.2024.103474&partnerID=40&md5=f64995f1644942bb7ef9a10bb16552db,"Rural construction is an important means of rural revitalization in China, and the construction of trust among multiple subjects is the key to the success. Especially in traditional villages with national protection status, the cognitive differences between individuals and the state aggravate the conflicts and trust crisis between grassroots organizations and villagers in the construction of rural housing. Simmel believes that trust is a leap of knowledge and belief under the joint action of rationality and sensibility. Many scholars have tried to analyze and deconstruct the “leap of trust” from multiple disciplines, but there are few practical cases, and the specific path with the rural background of China is not clear. The purpose of this study is to study the reconstruction of trust in village by focusing on the co-construction of villages, because the mode of co-construction of village is not only in line with traditional cultural customs, but also the main trend of promoting rural development in China. Based on the empirical investigation of rural housing construction in Tangfang Village, Yunnan Province, China, this paper studies the links among trust remodeling, university participation and multi-subject co-construction, and explores the elements and path of trust construction under the intervention of the third party of universities in rural construction. The empirical analysis points out that there are six elements of trust construction in the multi-subject co-construction of traditional village, including moral integrity, interest relationship, knowledge and technology, achievement expectation, value sharing and daily interaction, and the dynamic process of rural trust construction accompanied by multi-subjects eating, living and working together goes through four stages, namely, no trust, rational trust, experience trust and deep trust. There are two conclusions in this paper. Firstly, participating in rural construction can construct the trust relationship between university team members and villagers. Secondly, as a third-party media, universities can help to rebuild the trust relationship between villagers and grassroots organizations. © 2024 Elsevier Ltd"
Komalasari K.; Abdulkarim A.; Saripudin D.; Iswandi D.,"Komalasari, Kokom (56596830500); Abdulkarim, Aim (57203758979); Saripudin, Didin (56596733200); Iswandi, Dede (57202306201)",56596830500; 57203758979; 56596733200; 57202306201,Blended learning based on living values education for the development of students digital citizenship,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215003617&doi=10.34044%2fj.kjss.2024.45.4.16&partnerID=40&md5=95f533d0e7215488eac869d89fc05d07,"This research aims to develop a conceptual model of blended learning based on living values education, describe students’ perceptions of the implementation of the model and students digital citizenship, and test the effectiveness of the model on the development of students digital citizenship. The research utilized the mixed methods approach and involved six teachers, 120 students from junior high schools in Bandung Indonesia, and three lecturers of Pancasila and Civic Education as a research sample. Data were collected through various methods, including observation, interviews, focus group discussions, questionnaires, and attitude scales. The collected data were analyzed using interactive qualitative analysis, descriptive statistical analysis, and t-tests. The study findings are as follows: (1) Blended learning based on living values education is characterized by the application of living values education principles, the learning strategies applied online learning and face-to-face learning proportionally, the integration of digital citizenship materials, and there are diverse models for value-based learning and scientific-contextual learning; (2) The perceptions of blended learning based on living values education were “good” category; (3) The students digital citizenship exhibited significant improvement after the implementation of blended learning based on living values education, with the outcomes classified as very good; and (4) The results of the t-test indicated the blended learning model based on living values education proved to be effective in fostering the development of students digital citizenship. Therefore, this model can serve as a viable alternative in the current digital era for enhancing student digital citizenship skills. © 2024 Kasetsart University."
Stoica A.; Barth K.,"Stoica, Alina (59526466700); Barth, Karla (59526466800)",59526466700; 59526466800,The contribution of education and cultural diplomacy to strengthening civil society in the Republic of Moldova; [Az oktatás és a kulturális diplomácia hozzájárulása a civil társadalom megerősítéséhez a Moldovai Köztársaságban],2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216015666&doi=10.62560%2fcsz.2025.01.9&partnerID=40&md5=f33efbf7dbc7b2d2ba791cddf1749a2f,"Our study aims to explore the dynamics and transformations of civil society in the Republic of Moldova, taking into account the post-communist realities, which lay its foundations as a soft power. Civil society is represented by the social and civic institutions and organizations that form the foundation of a functioning democracy. Civil society organizations are involved in decision-making on social development or decisions of public interest. Civil society can include the media, churches, trade unions, non-governmental organizations, educational associations, etc. What is the link between cultural diplomacy, education and civil society? Based on Bordieu's theory, which provides us with a conceptual and analytical perspective suitable for a critical understanding of the role of civil society in making cultural diplomacy more effective, in our study we tried to establish what role cultural diplomacy in turn plays in the social distribution of local/national/international power in the form of an awareness of interdependence. We also try to follow in our analysis: what is the role of civil society in the Republic of Moldova in the accession process?; in the implementation of its tasks, does the EU-Moldova CSP envisage the use of culture and education, implicitly cultural diplomacy, in the EU accession process?; what role does cultural diplomacy play in the social distribution of power?; in the regional context given by the war in Ukraine, can cultural diplomacy and education help civil society in solving problems related to the judiciary, public administration, the fight against corruption, public finance management and freedom of the press? The methodological framework of the paper is structured around the analysis of the ""EU-Moldova Civil Society Platform"", in order to underline the role of the EU-Moldova Civil Society Platform and other civil society organizations in the development of civil society, internally, and of cultural diplomacy, externally, in favor of the state interests of the Republic of Moldova, both being seen as soft powers, necessary to fulfill the political and economic interests of the state. © 2021, Civil Szemle. All rights reserved."
Ellis H.,"Ellis, Heather (55557984400)",55557984400,‘Not in the college but city’: Networks of Higher Learning in Manchester before 1824,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213458684&doi=10.7227%2fBJRL.100.2.2&partnerID=40&md5=9407c4763592992df1c540c3b779e4b2,"This article explores in what ways and to what extent it is possible to talk about ‘higher learning’ and ‘higher education’ in Manchester before 1824, the date formally chosen by the University of Manchester to mark its foundation. It considers diverse sites and institutions, revealing a complex, interconnected web of knowledge spaces – dissenting academies, teaching hospitals, learned societies, independent libraries and individual initiatives – which complicate existing narratives of the development of higher education in the city that usually focus on the origins of the university. In the early nineteenth century, with Manchester rapidly becoming the ‘world’s first industrial city’, we see emerging at the same time a vibrant urban educational landscape, with no parallel in the British Isles at that time.1 In contrast to England’s ancient universities which remained, for the most part, closed and private entities until the mid-nineteenth century, Manchester’s educational culture was self-consciously diffused, civic and participatory, strongly influenced by the city’s prominent dissenting communities. Excluded from Oxford and Cambridge, Manchester’s Unitarians, in particular, sought to shape the city’s educational culture according to the Enlightenment ideal of polite learning as a public endeavour. While civic participatory models have been foregrounded by historians of knowledge and ideas in recent years, this article considers, for the first time, how such models influenced the history of educational cultures in Manchester. © 2024 Manchester University Press. All rights reserved."
Polydoropoulou A.; Bouhouras E.; Papaioannou G.; Karakikes I.,"Polydoropoulou, Amalia (6602644697); Bouhouras, Efstathios (25627110400); Papaioannou, Georgios (58788406200); Karakikes, Ioannis (57202973318)",6602644697; 25627110400; 58788406200; 57202973318,Living labs for the resilience of ports against climate change disruptions,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214279093&doi=10.1016%2fj.ocecoaman.2024.107528&partnerID=40&md5=08242adfe9f9f9615db218136b742067,"Maritime ports are critical infrastructures that play a vital role in global trade and commerce. However, their geographical position often renders them vulnerable to the negative effects of climate change. This work assesses the potential of Living Labs (LL) as user-centred open innovation environments, in which multiple stakeholders systematically revision the currently existing port infrastructure and co-create solutions for enhancing resilience against climate-induced hazards. In respect to the previous, and in the context of the scientific project “Resports”, 3 Living Labs (LLs) are established in equal number of Greek Ports, Chios, Volos and Heraklion. The Quadruple Helix Participation Model of Partnership is followed, involving stakeholders from Academia, Industry, Governments and Civic Society. Based on these three LLs, this study describes their framework, reports their key-findings and discusses their implications for the Ports Industry Ecosystem. Main benefits resulting from the qualitative analysis of LLs for fostering resilience of Greek ports include the acceleration of research and innovation; the mapping and validation of processes through engagement with diverse stakeholders which often may have conflicting objectives; the risk mitigation achieved by testing novel solutions in a controlled environment; and the facilitation of knowledge transfer across different partners within the port industry ecosystem. Thus, LLs emerge as indispensable platforms to promote co-creation, adaptability, innovation, and collaboration, propelling maritime ports toward a more sustainable and resilient future in response to the evolving challenges posed by climate change. © 2024 Elsevier Ltd"
Radtke J.,"Radtke, Jörg (56536423600)",56536423600,E-participation in energy transitions: What does it mean? Chances and challenges within Germany's Energiewende,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208074021&doi=10.1016%2fj.techfore.2024.123839&partnerID=40&md5=dcc3a1405b0e187a8e53b89b857d08bf,"Does e-participation generate more democratic legitimacy in the context of the German Energiewende through more input and procedural justice, better outputs and environmental outcomes that are accepted by the public? In recent years, many forms of e-participation have emerged, and space for experiments with visual and interactive technologies has been created. However, research evaluating e-participation technologies in energy transitions is lacking. This study uses interviews with 33 stakeholders in a planned wind farm project, combined with online survey results, to derive empirical insights into attitudes towards and preferences for e-participation. On the one hand, we observe openness towards new options for creative input and visualization-based online tools and virtual realities. On the other hand, stakeholders fear vulnerabilities and are skeptical about the efficacy of online discourse. Institutional stakeholders primarily see risks in civic participation, while citizens themselves see the benefits. Unexploited potential for creative input, deliberation, and collaborative planning could be leveraged to increase democratic legitimacy. In this context, better outputs are not synonymous with accepting outcomes, but can include changes to or even rejection of plans based on public preferences and concerns. This potential remains largely untapped, however, and requires a willingness to participate, thus calling for mobilization strategies. © 2024 The Author"
Nascimento M.M.; Costa C.; Brandão F.; Figueira L.M.,"Nascimento, Mafalda Martins (59515643900); Costa, Carlos (57200196514); Brandão, Filipa (57192877583); Figueira, Luís Mota (57196006278)",59515643900; 57200196514; 57192877583; 57196006278,"Tourism, the valorisation of historical heritage and the economy of culture: The ""Templar Days"" event in Portugal; [Turismo, valorização do Património histórico e Economia da Cultura: O evento “Dias Templários” em Portugal]",2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215078637&doi=10.34624%2frtd.v47i0.38748&partnerID=40&md5=4ca1c0408b1d8cf84fae8fea7267b27b,"| Portugal has a vast heritage legacy related to the Order of the Temple. Historical-military re-enactment tourism events have been described as a lever for territorial development. This case study aims to illustrate the state of the art on the reality of Military Tourism under the templar subject, and its potential for innovation in territories that integrate thematic, historical, and cultural dimensions to diversify, differentiate and promote tourist destinations. The focus of this study is on the Templar Days (TD) events, currently promoted by non-profit civic associations related to the historical theme of “Knights Templar.” A documentary analysis of the content of the online pages and a systematic literature review were conducted to investigate this model of historical re-enactment event. This study discloses the importance of cultural diversification and resulted in research which historically positions the importance of ""Templar Days"" (TD) as an initiative that revives the Templar memorial and, at the same time, socially and economically benefits community-based territorial development. The European Union supports initiatives with this type of framework. © 2024, Universidade de Aveiro. All rights reserved."
Pinto F.; Macadar M.A.,"Pinto, Fernando (57212573568); Macadar, Marie Anne (59157848100)",57212573568; 59157848100,Using Generative AI Chatbot for enhancing people's digital participation,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216074746&doi=10.1145%2f3680127.3680194&partnerID=40&md5=38039b21a2976eae259c5c00a55f1319,"Aiming to improve communication and increase the access to available channels and tools, chatbots, or conversational agents, are being used to support peoplés digital participation and foster civic engagement. However, conversational agents attend only expected cases of participation, that is, those based on e-consulting, e-decision making and e-informing. Hence, chatbots dońt concern non mapped cases of self-mobilization, besides there are problems in human-computer communication and in the transmission of information caused by digital divide that hinder peoples participation. Literature review indicates that generative AI chatbot shall be used in non-expected interactions between human and conversational agents. Therefore, this paper discusses how chatbots could interact within self-mobilizations' types of digital participation, concerning obstacles like lack of infrastructure and digital illiteracy. Using design science research, we propose the GenPart, a generative AI-chatbot model for enhancing peoplés digital participation. We claim that this artifact can be used by researchers and practitioners who want to promote the integration between people, organizations, and information in digital platforms, promoting citizen participation and civic engagement.  © 2024 held by the owner/author(s)."
Chen X.; Xu J.; Yi Y.; Zhuge A.,"Chen, Xing (57206709508); Xu, Jintao (7408551539); Yi, Yuanyuan (56074278100); Zhuge, Andong (58608876900)",57206709508; 7408551539; 56074278100; 58608876900,"Land reform, emerging grassroots democracy and political trust in China",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205459210&doi=10.1016%2fj.worlddev.2024.106792&partnerID=40&md5=ad45cbf72454744a21b8db5fc112946f,"This study explores how the application of democratic rule in land reform decision-making determines villagers’ political trust towards different levels of the government in China. Analyzing a two-period household survey dataset, we find that in China's recent Collective Forest Tenure Reform, which has devolved the tenure rights of the village collective-owned forestland to households, democratic decision-making increases trust for town and county cadres. The impact on trust towards village cadres is significant only when democracy involves all villagers in a village. We show two mechanisms that improve villagers’ trust: the “privatization” effect, where democratic decision-making leads to more land devolved to villagers, and the “conflict-resolving” effect, where improved information and cohesion by mass participation helps resolve inter-village land disputes. Heterogeneity analyses show that democratic decision-making has a more pronounced effect in improving trust for villagers with lower income, and those without affiliation with the Chinese Communist Party or village committees. © 2024 Elsevier Ltd"
Zamri N.S.H.M.,"Zamri, Nur Syahzanani Hani Mohd (59516093300)",59516093300,Analyzing the Impact of ICT on Blue Social Capital: The prevalence of Digital Poverty in the Maritime Community,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215121841&partnerID=40&md5=1b5220fd95979d1614c280b1a481a67e,"This quantitative study investigates the complex relationship between Information and Communication Technology (ICT) and blue social capital within maritime communities, particularly in the context of digital poverty. Through the examination of social trust, networks, community capacity, resilience, and civic engagement, this research aims to uncover their combined influence on collaborative efforts. The primary objective of this study is to identify how the integration of ICT tools shapes the formation and utilization of blue social capital, thereby affecting maritime community development. This study incorporates a sample of 215 individuals, carefully selected to ensure the statistical robustness of the findings, involving participants aged 18 and above. By employing descriptive and inferential analyses of survey data, this study examines the relationship between ICT usage and indicators of blue social capital. The results emphasize significant associations between blue social capital components and the overall progress of maritime communities. This research provides valuable insights for policymakers and practitioners, offering guidance on leveraging ICT to strengthen social capital and drive sustainable development in maritime communities across Pahang, Terengganu, and Kelantan. © SEECMAR | All rights reserved."
